capability,version,source_path_function_line,evidence_type,receipt_path_hash,tested_domain_platform_scale,result,remaining_limits
issue boundary and exact clocks,v3,N/include/shared_history/Runtime.hpp:484-549 begin_interval/finish_interval/finish,source_inspected;historical_receipt_inspected,L/final-closeout/HOST_FINAL.json,New River+Watauga;Linux ARM64 deployment;65375 historical steps/domain,Implemented;historical completion recorded,No new runtime check
live land fork and isolation,v2/v3,N/include/shared_history/Runtime.hpp:376-460;ChildOwnership.hpp:11-29,source_inspected;historical_receipt_inspected,C/provenance/preferred32_week.json,393/31 catchments;observed outstanding3/2,Within final keyed flow tolerance,v2 week binary differs from v3 production;does not prove caps11/3 fully exercised
routing snapshot restore,v1 routing/v3 driver,C/src/nextgen_reforecast/shared_history_routing_service_v1.py:250-298,source_inspected;historical_receipt_inspected,C/provenance/real_local_day_ack.json,Watauga786h;2branches,Routing-only snapshot;zero recorded comparison difference,No complete land checkpoint;restricted channel profile
transactional issue commits,v2,C/src/nextgen_reforecast/shared_history_recovery_v2.py:70-195,source_inspected,see SOURCE_VERSION_MAP.json hash inventory,18leads per configured gauge,Atomic fsynced commit and integrity verification implemented,Not a model execution or new failure test
history-only recovery planning,v2,C/src/nextgen_reforecast/shared_history_recovery_v2.py:198-231,source_inspected;historical_test_report_only,D/native/shared_history_driver/README.md:3-5,Reported Watauga20h/two children;receipt dataless,Plan preserves origin and skips verified forecast issues,Full multi-year replay and production auto-recovery not established
daily durable output custody,v3,"N/include/shared_history/Runtime.hpp:395-414,537-548;C/src/nextgen_reforecast/production_day_controller_v1.py:73-107",source_inspected;historical_receipt_inspected,C/provenance/real_local_day_ack.json,Watauga786h;2ACKs;2branches,PASS_REAL_WATAUGA_DAY_CUSTODY_V3_LOCAL_ONLY,No hydrologic state stored
branch-only perturbation,v1/v2,"D/native/shared_history_driver/README.md:3-11,78-79",historical_test_report_only,Original Watauga pulse and v2 qualification receipts UF_DATALESS,Reported20h Watauga,Reported parent/sibling unchanged,No matching receipt bytes read this turn
New River same-weather reference,v1,D/local_only/shared_history_native_prototype_v1/newriver-minso-sensitivity-qualification01/QUALIFICATION.json,historical_receipt_inspected,direct resident JSON;hash in runtime_checks.json,393catchments;20h;2branches;3modules,zero QVD differences;abs1e-6/rel1e-5,Diagnostic slope geometry;binary link unresolved in inspected receipt
portable complete checkpoint,all inspected,C/src/nextgen_reforecast/shared_history_day_shard_v1.py:232;N/include/shared_history/Runtime.hpp:528,source_inspected,state_checkpoint:false;portable_restart_proven:false,none,Not implemented/claimed in inspected path,Land process memory lost on host loss
Domain closure and subset,gate3 v1/v2,D/src/nextgen_reforecast/gate3_hydrofabric_prep.py:_domain_closure_rows:541-559; _selection_from_source:568-643,inspected_source,forcing_checks.json source hashes,frozen two-domain configuration; no new test,Recursive closure and exact row equality implemented,Arbitrary basin generation unverified; Gate2 source dataless
Nested gauge reuse,production v1,C/src/nextgen_reforecast/production_execution_recipe_v1.py:21-22,inspected_source_and_historical_profile,C/provenance/HISTORY_BINDING_V2.json,393-catchment New River and 31-catchment Watauga,New River has one parent and two output gauges,Safe only with identical scientific inputs/state contract; no general dedup API
History interval and conversion,AORC continuous index v2,C/src/nextgen_reforecast/aorc_continuous_index_v2.py:129-170,inspected_source,C/inputs/watauga_vpu06/HISTORY_CSV_MANIFEST.json,424-axis hourly history,APCP(t+1)/3600 once; other fields same label,Independent unit and DSWRF temporal qualification unresolved
Forecast interval conversion,NWM compact v2,C/src/nextgen_reforecast/nwm_compact_forcing_v2.py:120-186,inspected_source,forcing_checks.json source hashes,18-hour branches; two frozen domains,Issue lead k maps provider issue+(k-1)h and valid issue+k h,Already decoded physical values assumed; upstream scaling not retested
Exact source selection,source queue v1,C/src/nextgen_reforecast/full_period_source_queue_v1.py:64-80,inspected_source,forcing_checks.json source hashes,archived NWM short-range f001-f018,Key/generation/lead/valid-time guards,Object metadata is not resident or retrievable bytes
Source era profile,compatibility v1 and history binding v2,C/src/nextgen_reforecast/source_publication_compatibility_v1.py:53-90,inspected_source_and_binding,C/provenance/HISTORY_BINDING_V2.json,earlier_numeric_cf/reference_frozen,Fingerprint profile binding and qualified legacy exception exist,Not official NWM version-transition table; legacy per-object qualification false
Missing weather overlay,AORC gap research v1,"C/src/nextgen_reforecast/aorc_gap_interpolation_research_v1.py:49-112,174-209",inspected_source_historical_treatment,C/provenance/HISTORY_BINDING_V2.json,193 variable-hours; 424 catchments,Retrospective adjacent-day treatment with lineage,Not operational forecast availability or proven storm restoration
Date and path rendering,production v1,C/src/nextgen_reforecast/production_realization_v1.py:15-70,inspected_source,C/inputs/watauga_vpu06/MANIFEST.json,fixed domains and SLOTH/NoahOWP/CFE,Dates/path inputs can vary within explicit restrictions,New basin/stack/horizon/cadence requires refactor
Channel routing restriction,routing service v1,C/src/nextgen_reforecast/shared_history_routing_service_v1.py:59-89,inspected_source,forcing_checks.json source hashes,V02-structured; twelve 300-second steps/hour,Unsupported modes explicitly rejected,Waterbodies/DA/diffusive/coastal/GIUH not supported by this profile
