capability,version,source_path_function_line,evidence_type,receipt_path_hash,tested_domain_platform_scale,result,remaining_limits
Domain closure and subset,gate3 v1/v2,D/src/nextgen_reforecast/gate3_hydrofabric_prep.py:_domain_closure_rows:541-559; _selection_from_source:568-643,inspected_source,forcing_checks.json source hashes,frozen two-domain configuration; no new test,Recursive closure and exact row equality implemented,Arbitrary basin generation unverified; Gate2 source dataless
Nested gauge reuse,production v1,C/src/nextgen_reforecast/production_execution_recipe_v1.py:21-22,inspected_source_and_historical_profile,C/provenance/HISTORY_BINDING_V2.json,393-catchment New River and 31-catchment Watauga,New River has one parent and two output gauges,Safe only with identical scientific inputs/state contract; no general dedup API
History interval and conversion,AORC continuous index v2,C/src/nextgen_reforecast/aorc_continuous_index_v2.py:129-170,inspected_source,C/inputs/watauga_vpu06/HISTORY_CSV_MANIFEST.json,424-axis hourly history,APCP(t+1)/3600 once; other fields same label,Independent unit and DSWRF temporal qualification unresolved
Forecast interval conversion,NWM compact v2,C/src/nextgen_reforecast/nwm_compact_forcing_v2.py:120-186,inspected_source,forcing_checks.json source hashes,18-hour branches; two frozen domains,Issue lead k maps provider issue+(k-1)h and valid issue+k h,Already decoded physical values assumed; upstream scaling not retested
Exact source selection,source queue v1,C/src/nextgen_reforecast/full_period_source_queue_v1.py:64-80,inspected_source,forcing_checks.json source hashes,archived NWM short-range f001-f018,Key/generation/lead/valid-time guards,Object metadata is not resident or retrievable bytes
Source era profile,compatibility v1 and history binding v2,C/src/nextgen_reforecast/source_publication_compatibility_v1.py:53-90,inspected_source_and_binding,C/provenance/HISTORY_BINDING_V2.json,earlier_numeric_cf/reference_frozen,Fingerprint profile binding and qualified legacy exception exist,Not official NWM version-transition table; legacy per-object qualification false
Missing weather overlay,AORC gap research v1,"C/src/nextgen_reforecast/aorc_gap_interpolation_research_v1.py:49-112,174-209",inspected_source_historical_treatment,C/provenance/HISTORY_BINDING_V2.json,193 variable-hours; 424 catchments,Retrospective adjacent-day treatment with lineage,Not operational forecast availability or proven storm restoration
Date and path rendering,production v1,C/src/nextgen_reforecast/production_realization_v1.py:15-70,inspected_source,C/inputs/watauga_vpu06/MANIFEST.json,fixed domains and SLOTH/NoahOWP/CFE,Dates/path inputs can vary within explicit restrictions,New basin/stack/horizon/cadence requires refactor
Channel routing restriction,routing service v1,C/src/nextgen_reforecast/shared_history_routing_service_v1.py:59-89,inspected_source,forcing_checks.json source hashes,V02-structured; twelve 300-second steps/hour,Unsupported modes explicitly rejected,Waterbodies/DA/diffusive/coastal/GIUH not supported by this profile
Real minimal qualification,native v3,"FIXTURE/scripts/shared_history_day_model_controller_v3.py:39-43,155-191",historical_test_with_inspected_receipt,C/provenance/real_local_day_ack.json; hash in forcing_checks.json,Watauga 31; Linux ARM64; 786h; 2 issues,Historical PASS; 36 rows; 2 ACKs; zero reported comparison differences,Not rerun; 132 of 181 fixture files dataless; complete example unavailable
Fixture residency,new read-only metadata check,MINIMAL_EXAMPLE_MANIFEST.json:candidate_fixture_inventory,new_check_actually_performed,forcing_checks.json,181 named fixture files,49 resident; 906503 bytes; 132 dataless,No hydration; no new model tests
History CSV residency,new read-only metadata check,MINIMAL_EXAMPLE_MANIFEST.json:resident_full_history_csv_metadata,new_check_actually_performed,C/inputs/watauga_vpu06/HISTORY_CSV_MANIFEST.json,31 Watauga files; 294905906 bytes,All named CSV files resident metadata,Contents and recorded hashes not reverified; differs from qualification initialization
