claim_id,manuscript_sections,claim,evidence_class,status,source_or_evidence,limits,required_completion
C01,1,Reforecast outputs require scientific state and provenance checks beyond plausible discharge,design_rationale,proposed,paper/MANUSCRIPT.md#1-introduction,Not an empirical frequency or predictive-skill claim,Evaluate E01-E07 and revise conclusions from receipts
C02,2.1,"Parent has consumed [origin,issue); provider starts issue through issue+17h; targets issue+1h through issue+18h",historical_source_and_design,historical_inspected_source,reports/reforecast_software_feasibility_20260918T045854Z/STATE_AND_RECOVERY.md; N/include/shared_history/Runtime.hpp:484-549,New package adherence needs tests; hidden state is conceptual not fully serialized,E01 exact clocks and E03 release-build physical continuation
C03,2.1,Forecast branches never update historical parent,design_contract,proposed,reports/reforecast_software_feasibility_20260918T045854Z/STATE_AND_RECOVERY.md; paper/MANUSCRIPT.md#21-historical-state-and-issue-time,Required behavior rather than proof for public build,E02/E03/E05 perturbation and continuation on released profile
C04,1;6,NGIAB DataStreamCLI and NRDS already supply substantial execution and reproducibility infrastructure,primary_source_documentation,documented,https://doi.org/10.1016/j.envsoft.2025.106666; https://github.com/CIROH-UA/datastreamcli; https://hub.ciroh.org/blog/nextgen-research-datastream-april-2026/,No claim an equivalent branch contract is absent upstream,Retain pinned interface comparison and qualify chosen adapter
C05,2.1,Live inherited state is distinct from portable serialization,historical_source_and_design,historical_inspected_source,reports/reforecast_software_feasibility_20260918T045854Z/STATE_AND_RECOVERY.md; Runtime.hpp; SwitchingProvider.hpp,No complete portable land checkpoint established,E03 continuation and explicit documented checkpoint limitations
C06,1;3.3,Channel snapshot and discharge archive are not complete land checkpoints,historical_source,historical_inspected_source,reports/reforecast_software_feasibility_20260918T045854Z/STATE_AND_RECOVERY.md; shared_history_routing_service_v1.py:250-298; shared_history_day_shard_v1.py:178-241,Routing snapshot only restricted channel profile,Preserve distinction in implementation schemas and recovery tests
C07,1;3.3,Recovery design preserves original origin and replays history,historical_source_and_design,proposed,reports/reforecast_software_feasibility_20260918T045854Z/STATE_AND_RECOVERY.md; shared_history_recovery_v2.py:198-231,Helper existence is not demonstrated production parent-loss recovery,E05/E06 fresh build matched uninterrupted reference
C08,1;4;7,Evaluation will test references isolation recovery resources and external use,evaluation_plan,predeclared,benchmarks/PROTOCOL.md; benchmarks/EXPERIMENT_MATRIX.json,Experiments are not yet run,Retain all E01-E09 receipts; no promotion of blocked cases to passes
C09,1,Version identity licensing metadata provenance and dependencies are relevant research-software release deliverables,primary_source_principles,documented,https://doi.org/10.1038/s41597-022-01710-x,FAIR4RS alignment is not a certification or an execution result,Resolve release artifacts and independently reproduce
C10,2.2,Historical AORC precipitation uses next-label accumulation /3600; decoded forecast rain rates do not repeat conversion,historical_source,historical_inspected_source,reports/reforecast_software_feasibility_20260918T045854Z/DATA_AND_CONFIGURATION.md; aorc_continuous_index_v2.py:165-170; nwm_decoded_issue_csv_adapter_v1.py:86-119,Shortwave timing and decoder/source-unit qualification remain unresolved,Bind source metadata; source-unit and interval conformance tests
C11,2.2,Shared state identity includes geometry realization parameters origin history treatments and runtime; nested gauges do not multiply domains,scientific_contract,proposed,reports/reforecast_software_feasibility_20260918T045854Z/DATA_AND_CONFIGURATION.md; paper/MANUSCRIPT.md#22-forcing-semantics-and-state-identity,Geometry alone does not authorize reuse across differing realizations,Identity schema tests and E08 nested-output qualification
C12,2.2,Gaps nonfinite values and source mismatches must be explicit; future-information treatment is retrospective,historical_source_and_design,proposed,reports/reforecast_software_feasibility_20260918T045854Z/DATA_AND_CONFIGURATION.md; aorc_gap_interpolation_research_v1.py:49-112,Existing imputation is a research treatment not an operational capability,Retain lineage; E07 content-level tests; no silent replacements
C13,3.1,Offline core and init plan ledger report doctor commands are implemented and locally verified; run and resume are unavailable,new_offline_contract,implemented_locally_tested,docs/VALIDATION.json; docs/IMPLEMENTATION_STATUS.md; IMPLEMENTATION_PLAN.md,Coordinator reports local installation and contract validation; no native model execution or release physical qualification,Freeze tested release commit and retain exact executed validation receipts; native execution requires M2-M3
C14,3.1;6,Initial physical scope is Linux ARM64 single-thread SLOTH/NoahOWP/CFE channel routing,historical_source_and_scope,historical_inspected_source,reports/reforecast_software_feasibility_20260918T045854Z/STATE_AND_RECOVERY.md; reports/reforecast_software_feasibility_20260918T045854Z/SOURCE_VERSION_MAP.json; IMPLEMENTATION_PLAN.md,No cross-platform arbitrary-BMI MPI reservoir or assimilation support qualification,M2 source/binary closure and E03 profile validation
C15,3.2,Historical V3 uses fork independent read descriptions child-owned routing and isolation acknowledgement,historical_source,historical_inspected_source,reports/reforecast_software_feasibility_20260918T045854Z/STATE_AND_RECOVERY.md; Runtime.hpp:407-460; ChildOwnership.hpp:11-29,Inspected mechanisms do not qualify rebuilt public adapter,E02/E03 exact new runtime tests
C16,3.2;6,Memory isolation alone is insufficient for external state; diagnostics cover a subset of hidden state,design_rationale,proposed,reports/reforecast_software_feasibility_20260918T045854Z/STATE_AND_RECOVERY.md; paper/MANUSCRIPT.md#32-branch-construction-and-isolation,No comprehensive independent state-variable attestation,File ownership perturbation and continuation experiments
C17,3.3,Forecast completion requires zero-exit reaping exact keys validated numerics checksums and atomic publication,historical_source_and_design,proposed,reports/reforecast_software_feasibility_20260918T045854Z/STATE_AND_RECOVERY.md; shared_history_recovery_v2.py:49-195,Public transaction code and filesystem failure semantics need new implementation/tests,E02/E05/E06 commit and fault cases
C18,3.3;6,Replay needs original exact inputs/runtime; valid completed issues may suppress forecast launches but not history,historical_source_and_design,proposed,reports/reforecast_software_feasibility_20260918T045854Z/STATE_AND_RECOVERY.md; shared_history_recovery_v2.py:198-231,No completed public parent/host-loss replay qualification; source locators are not bytes,E05/E06/E07; original-origin and missing-asset rejection
C19,3.4;6,Checksums detect corruption but do not alone establish scientific validity; output archive size excludes complete reproduction inputs,design_rationale_and_historical_scope,documented,reports/reforecast_software_feasibility_20260918T045854Z/STATE_AND_RECOVERY.md; reports/reforecast_software_feasibility_20260918T045854Z/BENCHMARK_EVIDENCE_AND_PLAN.md,No authentication claim; archive and complete bundle metrics differ,Record complete fixture and runtime sizes and identity validation
C20,3.4;Availability,Public development repository has unresolved release licensing component provenance and data redistribution,release_status,unresolved,LICENSE_STATUS.md; reports/reforecast_software_feasibility_20260918T045854Z/UPSTREAM_OVERLAP_AND_LICENSES.md,Public visibility does not grant a software license or clear private assets,M7 rights/notices/SBOM/source-build and fixture-deposit closure
C21,4;5,Original Watauga small case is origin 2021-12-01 with 786 history steps and issues at 2022-01-01 23Z and 2022-01-02 00Z; 132 fixture files dataless,historical_fixture_inventory,historical_inspected_manifest,reports/reforecast_software_feasibility_20260918T045854Z/DATA_AND_CONFIGURATION.md; reports/reforecast_software_feasibility_20260918T045854Z/MINIMAL_EXAMPLE_MANIFEST.json,Inventory at feasibility inspection; metadata availability can change; different origin cannot substitute,Restore exact fixture and hash-bound recipe; E03 before claimed new result
C22,4,First discharge qualification preserves math.isclose rel_tol=1e-5 abs_tol=1e-6 with symmetric maximum rule,evaluation_rule,predeclared,benchmarks/PROTOCOL.md#4-endpoints-and-decision-rules; benchmarks/EXPERIMENT_MATRIX.json,No additive tolerance change; non-discharge tolerances remain unset,Implement exact comparator and fail on incomplete keys/nonfinite data
C23,4,Fault experiments require unchanged unaffected trajectories no partial or duplicate commits and reference-equivalent replay,evaluation_rule,predeclared,benchmarks/PROTOCOL.md; benchmarks/EXPERIMENT_MATRIX.json,Process termination does not qualify host power loss,Execute E02/E05-E07 and retain adverse cases
C24,4,Resource comparison uses identical workload whole-job limits five paired trials and measured replay cost,evaluation_plan,predeclared,benchmarks/PROTOCOL.md#5-experiments-and-comparisons; benchmarks/EXPERIMENT_MATRIX.json,No measured efficiency cost scalability or memory claim yet,Execute E04 with enforced limits raw counters and all outcomes
C25,4,Transfer uses New River as one domain with two outputs; external researcher reproduction remains planned,evaluation_plan,predeclared,benchmarks/PROTOCOL.md; reports/reforecast_software_feasibility_20260918T045854Z/DATA_AND_CONFIGURATION.md,Second AI agent on same host is not independent researcher reproduction,E08 original fixture then E09 independent operator evidence
C26,5,Historical V2 week reports 168 issues per domain 18 leads and 9072 gauge rows with tolerance agreement,historical_receipt,historical_inspected_receipt,reports/reforecast_software_feasibility_20260918T045854Z/BENCHMARK_EVIDENCE_AND_PLAN.md; reports/reforecast_software_feasibility_20260918T045854Z/benchmark_receipts.json; preferred32_week.json sha256:f29b8ca121acc73d95b46e56aae3d41e9abd315808521ce884594151caf5a4c5,Native f4d4690c...; raw arrays not recomputed; nonzero differences; not public build,New E03/E04 and public matched raw comparison evidence
C27,5,Historical week timing 1213 versus 490 seconds changed CPU allocations; observed child peaks 3 and 2,historical_receipt,historical_inspected_receipt,reports/reforecast_software_feasibility_20260918T045854Z/BENCHMARK_EVIDENCE_AND_PLAN.md; preferred32_week.json,Cannot support equal-resource algorithmic speedup or configured-cap scaling,Use E04 fresh equal-resource results; retain historical limitation
C28,5,Historical V3 day-custody receipt records 786 historical steps two branches 36 rows and selected zero differences,historical_receipt,historical_inspected_receipt,reports/reforecast_software_feasibility_20260918T045854Z/BENCHMARK_EVIDENCE_AND_PLAN.md; real_local_day_ack.json sha256:b52bc2c33d161d7ee2e37c1cfe03932af34d0f54944e498139091cf7ece1a708,Native ee65c774... differs from V2; no full land checkpoint or independently recomputed arrays,New E03 and matched release identities
C29,5;7;Availability,Public physical results external reproduction and versioned complete releases remain pending,project_status,unresolved,IMPLEMENTATION_PLAN.md; docs/IMPLEMENTATION_STATUS.md; benchmarks/EXPERIMENT_MATRIX.json,No physical result inferred from new offline tests or historical receipts,Complete M2-M7 and rewrite abstract/results/conclusion against evidence
C30,6,Execution equivalence does not establish hydrologic predictive skill; software and HYDRA contributions differ,scope_and_inference,design_rationale,nextgen_Software/SOFTWARE_AND_MANUSCRIPT_OUTLINE.md; paper/MANUSCRIPT.md#6-discussion-and-limitations,No new predictive-skill result in this software paper,Keep scientific treatments explicit and scope final contribution to executed study
C31,6,Upstream contract uniqueness placement and maintenance remain unresolved,upstream_comparison,unresolved,reports/reforecast_software_feasibility_20260918T045854Z/UPSTREAM_OVERLAP_AND_LICENSES.md,Bounded source inspection not exhaustive absence proof; no maintainer agreement,Version-specific comparison and separately authorized maintainer discussion
C32,2.3;6,Owner reports historical inputs use mean.slope for CFE drainage; saved Watauga original and variant configurations were checked against the isolated-experiment manifest,owner_report_and_saved_configuration_review,partially_verified_saved_inputs,docs/CFE_PARAMETER_FINDING.md; docs/evidence/cfe-sensitivity-review.json,Saved Watauga configuration controls verified; original hydrofabric extraction and complete historical generator/library provenance remain unresolved,Bind original source-field metadata and exact generating/library identities; preserve original configuration evidence
C33,2.3,NGIAB preprocessing PR74 merged 3 February 2025 changes CFE slope from mean.slope to mean.slope_1km and also changes other model/preprocessing settings,primary_source_change_record,verified_upstream_diff,https://github.com/CIROH-UA/NGIAB_data_preprocess/pull/74; https://github.com/CIROH-UA/NGIAB_data_preprocess/pull/74/files; docs/CFE_PARAMETER_FINDING.md,Upstream change does not verify local inputs or isolate a hydrologic effect; full PR contains additional changes,Retain pinned source record; control other parameters in any CFE-only experiment
C34,5.2;6,Saved isolated-CFE outputs give a 102.83795727904703% unweighted median inherited-over-candidate runoff-depth contrast across 31 Watauga catchments in the first 18 evaluation hours at synthetic storm onset,inspected_prior_isolated_cfe_sensitivity,saved_output_arithmetic_recomputed,docs/evidence/cfe-sensitivity-review.json; docs/CFE_PARAMETER_FINDING.md; paired_sensitivities.csv sha256:56c3d95796a5bd51a93656013f3ebbdc90433d8519629b0b9f2451a7517b3d0c,100*(inherited/candidate-1); 31 valid pairs; hours17472-17489 after104weekwarmup; current CFE f9182dfb3d81c407c66c5b782114173893c30cf2 not deployed-library attestation; no model rerun; no Noah routing observations gauge-skill or full-campaign inference,Publicly deposit permitted source-bound evidence; independently reproduce isolated experiment; attest production component and separately qualify any alternative coupled profile
C35,2.3;5.2;6,Historical-profile runtime equivalence and alternative parameter-map qualification require separate scientific identities and references,scientific_contract,proposed,paper/MANUSCRIPT.md#23-parameter-mapping-and-scientific-variants; docs/CFE_PARAMETER_FINDING.md; benchmarks/PROTOCOL.md,Only prior isolated sensitivity and saved-output arithmetic inspected; no alternative coupled physical profile applied or qualified; changed parameters can change antecedent state,Preserve original reference; reproduce source-bound isolated experiment; bind controlled alternative physical profile and qualify coupled effects separately
C36,5.2;6,Saved isolated-CFE outputs give a 2.4847718183552248% unweighted median inherited-over-candidate runoff-depth contrast over the full 52week evaluation across 31 Watauga catchments,inspected_prior_isolated_cfe_sensitivity,saved_output_arithmetic_recomputed,docs/evidence/cfe-sensitivity-review.json; docs/CFE_PARAMETER_FINDING.md,8736hour synthetic evaluation after17472hourwarmup; 100*(inherited/candidate-1); range2.114465383626851-4.185696425082774%; no simulation rerun or universal long-term sensitivity bound; not basin or routed discharge,Retain separate short-window and full-window metrics; independently reproduce and evaluate coupled effects only under a separately qualified profile
C37,2,Manuscript distinguishes NWM system/products NextGen framework and a source-bound research reforecast without claiming operational NWM reproduction,supplied_brief_primary_source_review_and_study_definition,adopted_terminology,docs/source_material/TECHNICAL_FOUNDATION_2026-09-22.md sections1-3; paper/MANUSCRIPT.md#2-computational-problem-and-scientific-contract; docs/ECOSYSTEM_AND_DISSEMINATION.md,Adopted product scope with primary-source context; no newly verified operational initial-state or forecast equivalence,Keep final terminology consistent with verified primary ecosystem sources and qualified research profile
C38,2.1;6,Scientific output keys preserve realization/variant domain location issue lead and valid time; distinct issues sharing a valid time remain distinct records,design_contract,proposed,"docs/source_material/TECHNICAL_FOUNDATION_2026-09-22.md sections2,6,13; paper/MANUSCRIPT.md#21-historical-state-and-issue-time",Formal archive/export requirement; a validated planner does not establish an implemented physical archive/export adapter,Implement complete-key validation and export roundtrip against qualified outputs
C39,2.1,Supplied roadmap describes 2018-07-18 origin and 2018-09-17 first issue as an adopted 61day production initialization convention,supplied_brief_and_historical_dossier,reported_historical_configuration,docs/source_material/TECHNICAL_FOUNDATION_2026-09-22.md section4; reports/reforecast_software_feasibility_20260918T045854Z/DATA_AND_CONFIGURATION.md,No new production replay or hydrologic-convergence evidence; separate from original 2021-origin Watauga qualification fixture,Bind initial conditions and origin in release manifests; retain distinct fixture identity; substantiate any future convergence claim separately
C40,2.2,Planned lineage distinguishes historical versus forecast sources interval semantics and missing unavailable imputed substituted or excluded inputs,design_contract,proposed,"docs/source_material/TECHNICAL_FOUNDATION_2026-09-22.md sections5,6,13,14; paper/MANUSCRIPT.md#22-forcing-semantics-and-state-identity",No silent retrospective replacement of forecast forcing; unknown atmospheric release versions remain unknown; source availability not established by locators,Implement source/treatment lineage and content-level validators; require explicit source availability policy
C41,2.2,Supplied brief repeats historical June/November2024 weather gaps and exclusion of the 2021-04-15 17Z issue,supplied_brief_and_historical_dossier,reported_historical_treatment,docs/source_material/TECHNICAL_FOUNDATION_2026-09-22.md section14; reports/reforecast_software_feasibility_20260918T045854Z/DATA_AND_CONFIGURATION.md,These are historical reported treatments not new results or general source coverage; imputed history may use future information,Bind exact source intervals treatment recipes and affected-output lineage; do not infer operational information availability
C42,6,HYDRA and other ML/evaluation tools are optional downstream archive consumers rather than generator dependencies or acceptance criteria,product_scope,adopted_design_direction,docs/source_material/TECHNICAL_FOUNDATION_2026-09-22.md section18; paper/DEVELOPMENT_PLAN.md; paper/MANUSCRIPT.md#6-discussion-and-limitations,Export demonstration remains pending adapter and qualified archive; no new trained model or forecast-skill claim,Implement and validate a bounded issue-lead-preserving export/use example without requiring HYDRA
C43,3.1,Broader workflow selectable retained leads and shorter-horizon proposals are capability-gated future development; initial physical recipe remains18 hourly steps,supplied_brief_and_implementation_scope,proposed_not_qualified,"docs/source_material/TECHNICAL_FOUNDATION_2026-09-22.md sections9,10,17,22; IMPLEMENTATION_PLAN.md; docs/IMPLEMENTATION_STATUS.md",Current interface is offline fivecommands; retaining a lead subset does not qualify a shorter simulated horizon; proposed20hour fixture is not a complete available dataset,Tie each feature to implementation and qualification evidence; predeclare any new fixture or horizon without replacing original initialization
